file,sample,image_a,image_b,similarity
001_sample_012608_012_013_sim_0.970182.jpg,sample_012608,012.jpg,013.jpg,0.97018230
002_sample_002357_009_010_sim_0.972944.jpg,sample_002357,009.jpg,010.jpg,0.97294390
003_sample_003151_001_002_sim_0.970779.jpg,sample_003151,001.jpg,002.jpg,0.97077876
004_sample_002509_000_001_sim_0.974535.jpg,sample_002509,000.jpg,001.jpg,0.97453511
005_sample_011141_017_018_sim_0.972542.jpg,sample_011141,017.jpg,018.jpg,0.97254169
006_sample_009347_019_020_sim_0.971168.jpg,sample_009347,019.jpg,020.jpg,0.97116828
007_sample_003288_010_011_sim_0.973057.jpg,sample_003288,010.jpg,011.jpg,0.97305703
008_sample_006271_008_009_sim_0.972368.jpg,sample_006271,008.jpg,009.jpg,0.97236764
009_sample_004878_005_006_sim_0.974960.jpg,sample_004878,005.jpg,006.jpg,0.97496033
010_sample_004862_015_016_sim_0.973883.jpg,sample_004862,015.jpg,016.jpg,0.97388327
011_sample_015302_010_011_sim_0.970830.jpg,sample_015302,010.jpg,011.jpg,0.97082984
012_sample_012039_009_010_sim_0.970141.jpg,sample_012039,009.jpg,010.jpg,0.97014141
013_sample_003968_010_011_sim_0.973626.jpg,sample_003968,010.jpg,011.jpg,0.97362614
014_sample_011435_005_006_sim_0.970477.jpg,sample_011435,005.jpg,006.jpg,0.97047675
015_sample_004736_013_014_sim_0.971506.jpg,sample_004736,013.jpg,014.jpg,0.97150636
016_sample_006902_003_004_sim_0.972006.jpg,sample_006902,003.jpg,004.jpg,0.97200572
017_sample_012506_002_003_sim_0.974791.jpg,sample_012506,002.jpg,003.jpg,0.97479057
018_sample_006287_002_003_sim_0.972927.jpg,sample_006287,002.jpg,003.jpg,0.97292650
019_sample_002864_017_018_sim_0.971860.jpg,sample_002864,017.jpg,018.jpg,0.97185999
020_sample_011897_006_007_sim_0.971181.jpg,sample_011897,006.jpg,007.jpg,0.97118068
021_sample_015714_012_013_sim_0.970466.jpg,sample_015714,012.jpg,013.jpg,0.97046602
022_sample_003144_017_018_sim_0.974789.jpg,sample_003144,017.jpg,018.jpg,0.97478908
023_sample_002240_016_017_sim_0.974570.jpg,sample_002240,016.jpg,017.jpg,0.97457010
024_sample_015465_015_016_sim_0.972035.jpg,sample_015465,015.jpg,016.jpg,0.97203535
025_sample_000162_014_015_sim_0.970663.jpg,sample_000162,014.jpg,015.jpg,0.97066289
026_sample_003102_018_019_sim_0.974843.jpg,sample_003102,018.jpg,019.jpg,0.97484285
027_sample_005862_008_009_sim_0.972157.jpg,sample_005862,008.jpg,009.jpg,0.97215712
028_sample_004519_015_016_sim_0.972293.jpg,sample_004519,015.jpg,016.jpg,0.97229254
029_sample_011197_015_016_sim_0.974331.jpg,sample_011197,015.jpg,016.jpg,0.97433054
030_sample_013054_004_005_sim_0.974627.jpg,sample_013054,004.jpg,005.jpg,0.97462708
031_sample_012987_017_018_sim_0.973347.jpg,sample_012987,017.jpg,018.jpg,0.97334701
032_sample_005298_004_005_sim_0.974251.jpg,sample_005298,004.jpg,005.jpg,0.97425085
033_sample_011114_007_008_sim_0.974781.jpg,sample_011114,007.jpg,008.jpg,0.97478092
034_sample_002461_016_017_sim_0.970096.jpg,sample_002461,016.jpg,017.jpg,0.97009629
035_sample_004499_002_003_sim_0.971273.jpg,sample_004499,002.jpg,003.jpg,0.97127301
036_sample_010656_001_002_sim_0.974086.jpg,sample_010656,001.jpg,002.jpg,0.97408563
037_sample_000059_010_011_sim_0.972345.jpg,sample_000059,010.jpg,011.jpg,0.97234535
038_sample_010927_000_001_sim_0.972712.jpg,sample_010927,000.jpg,001.jpg,0.97271240
039_sample_006654_019_020_sim_0.974131.jpg,sample_006654,019.jpg,020.jpg,0.97413087
040_sample_012275_015_016_sim_0.971993.jpg,sample_012275,015.jpg,016.jpg,0.97199261
041_sample_007064_016_017_sim_0.972199.jpg,sample_007064,016.jpg,017.jpg,0.97219908
042_sample_011459_017_018_sim_0.974297.jpg,sample_011459,017.jpg,018.jpg,0.97429746
043_sample_015859_017_018_sim_0.970172.jpg,sample_015859,017.jpg,018.jpg,0.97017169
044_sample_013063_003_004_sim_0.973324.jpg,sample_013063,003.jpg,004.jpg,0.97332448
045_sample_004309_018_019_sim_0.970418.jpg,sample_004309,018.jpg,019.jpg,0.97041833
046_sample_004858_017_018_sim_0.972987.jpg,sample_004858,017.jpg,018.jpg,0.97298706
047_sample_007469_015_016_sim_0.973883.jpg,sample_007469,015.jpg,016.jpg,0.97388256
048_sample_005395_005_006_sim_0.971918.jpg,sample_005395,005.jpg,006.jpg,0.97191763
049_sample_002458_000_001_sim_0.973710.jpg,sample_002458,000.jpg,001.jpg,0.97370994
050_sample_015565_016_017_sim_0.972660.jpg,sample_015565,016.jpg,017.jpg,0.97265995
