file,sample,image_a,image_b,similarity
001_sample_005307_005_006_sim_0.995027.jpg,sample_005307,005.jpg,006.jpg,0.99502707
002_sample_000649_015_016_sim_0.995413.jpg,sample_000649,015.jpg,016.jpg,0.99541312
003_sample_011559_001_002_sim_0.995720.jpg,sample_011559,001.jpg,002.jpg,0.99572003
004_sample_001209_016_017_sim_0.995962.jpg,sample_001209,016.jpg,017.jpg,0.99596232
005_sample_009566_007_008_sim_0.995962.jpg,sample_009566,007.jpg,008.jpg,0.99596232
006_sample_009859_017_018_sim_0.995165.jpg,sample_009859,017.jpg,018.jpg,0.99516475
007_sample_000006_002_003_sim_0.995171.jpg,sample_000006,002.jpg,003.jpg,0.99517113
008_sample_001218_015_016_sim_0.995163.jpg,sample_001218,015.jpg,016.jpg,0.99516314
009_sample_001166_016_017_sim_0.996610.jpg,sample_001166,016.jpg,017.jpg,0.99661016
010_sample_000768_015_016_sim_0.995341.jpg,sample_000768,015.jpg,016.jpg,0.99534059
011_sample_009624_017_018_sim_0.996573.jpg,sample_009624,017.jpg,018.jpg,0.99657321
012_sample_015645_017_018_sim_0.995089.jpg,sample_015645,017.jpg,018.jpg,0.99508893
013_sample_001388_014_015_sim_0.995453.jpg,sample_001388,014.jpg,015.jpg,0.99545324
014_sample_009745_005_006_sim_0.995040.jpg,sample_009745,005.jpg,006.jpg,0.99503988
015_sample_009692_007_008_sim_0.996070.jpg,sample_009692,007.jpg,008.jpg,0.99607003
016_sample_009694_008_009_sim_0.995684.jpg,sample_009694,008.jpg,009.jpg,0.99568367
017_sample_000797_017_018_sim_0.995588.jpg,sample_000797,017.jpg,018.jpg,0.99558753
018_sample_009838_010_011_sim_0.996807.jpg,sample_009838,010.jpg,011.jpg,0.99680668
019_sample_009758_016_017_sim_0.995067.jpg,sample_009758,016.jpg,017.jpg,0.99506694
020_sample_000645_013_014_sim_0.995222.jpg,sample_000645,013.jpg,014.jpg,0.99522161
021_sample_000415_014_015_sim_0.995311.jpg,sample_000415,014.jpg,015.jpg,0.99531054
022_sample_001160_015_016_sim_0.997191.jpg,sample_001160,015.jpg,016.jpg,0.99719059
023_sample_009840_003_004_sim_0.995233.jpg,sample_009840,003.jpg,004.jpg,0.99523300
024_sample_001584_015_016_sim_0.995469.jpg,sample_001584,015.jpg,016.jpg,0.99546915
025_sample_000434_013_014_sim_0.996156.jpg,sample_000434,013.jpg,014.jpg,0.99615604
026_sample_000995_015_016_sim_0.997005.jpg,sample_000995,015.jpg,016.jpg,0.99700511
027_sample_001346_016_017_sim_0.996531.jpg,sample_001346,016.jpg,017.jpg,0.99653089
028_sample_000978_015_016_sim_0.995359.jpg,sample_000978,015.jpg,016.jpg,0.99535859
029_sample_000692_015_016_sim_0.996387.jpg,sample_000692,015.jpg,016.jpg,0.99638700
030_sample_000612_014_015_sim_0.996064.jpg,sample_000612,014.jpg,015.jpg,0.99606359
031_sample_000045_015_016_sim_0.995570.jpg,sample_000045,015.jpg,016.jpg,0.99557030
032_sample_000266_015_016_sim_0.995554.jpg,sample_000266,015.jpg,016.jpg,0.99555409
033_sample_001012_014_015_sim_0.995682.jpg,sample_001012,014.jpg,015.jpg,0.99568212
034_sample_009760_002_003_sim_0.995486.jpg,sample_009760,002.jpg,003.jpg,0.99548554
035_sample_000339_016_017_sim_0.995821.jpg,sample_000339,016.jpg,017.jpg,0.99582052
036_sample_009723_007_008_sim_0.995405.jpg,sample_009723,007.jpg,008.jpg,0.99540484
037_sample_009612_008_009_sim_0.997111.jpg,sample_009612,008.jpg,009.jpg,0.99711055
038_sample_013019_004_005_sim_0.995546.jpg,sample_013019,004.jpg,005.jpg,0.99554574
039_sample_000687_014_015_sim_0.997338.jpg,sample_000687,014.jpg,015.jpg,0.99733812
040_sample_007368_013_014_sim_0.995321.jpg,sample_007368,013.jpg,014.jpg,0.99532145
041_sample_009818_004_005_sim_0.995866.jpg,sample_009818,004.jpg,005.jpg,0.99586648
042_sample_009407_002_003_sim_0.995443.jpg,sample_009407,002.jpg,003.jpg,0.99544287
043_sample_001011_014_015_sim_0.996262.jpg,sample_001011,014.jpg,015.jpg,0.99626243
044_sample_000612_015_016_sim_0.997149.jpg,sample_000612,015.jpg,016.jpg,0.99714947
045_sample_000016_002_003_sim_0.995402.jpg,sample_000016,002.jpg,003.jpg,0.99540210
046_sample_000497_010_011_sim_0.997842.jpg,sample_000497,010.jpg,011.jpg,0.99784219
047_sample_009620_017_018_sim_0.996783.jpg,sample_009620,017.jpg,018.jpg,0.99678344
048_sample_000870_017_018_sim_0.995288.jpg,sample_000870,017.jpg,018.jpg,0.99528801
049_sample_000652_015_016_sim_0.996972.jpg,sample_000652,015.jpg,016.jpg,0.99697232
050_sample_009842_002_003_sim_0.996250.jpg,sample_009842,002.jpg,003.jpg,0.99624950
