file,sample,image_a,image_b,similarity
001_sample_006799_010_011_sim_0.956188.jpg,sample_006799,010.jpg,011.jpg,0.95618820
002_sample_003408_004_005_sim_0.956422.jpg,sample_003408,004.jpg,005.jpg,0.95642185
003_sample_011480_009_010_sim_0.958062.jpg,sample_011480,009.jpg,010.jpg,0.95806229
004_sample_008323_017_018_sim_0.959656.jpg,sample_008323,017.jpg,018.jpg,0.95965564
005_sample_012961_007_008_sim_0.956448.jpg,sample_012961,007.jpg,008.jpg,0.95644766
006_sample_011114_010_011_sim_0.958973.jpg,sample_011114,010.jpg,011.jpg,0.95897341
007_sample_004729_004_005_sim_0.955415.jpg,sample_004729,004.jpg,005.jpg,0.95541513
008_sample_011249_005_006_sim_0.957858.jpg,sample_011249,005.jpg,006.jpg,0.95785761
009_sample_010913_014_015_sim_0.957510.jpg,sample_010913,014.jpg,015.jpg,0.95750982
010_sample_006241_001_002_sim_0.956872.jpg,sample_006241,001.jpg,002.jpg,0.95687181
011_sample_007912_012_013_sim_0.955423.jpg,sample_007912,012.jpg,013.jpg,0.95542336
012_sample_002860_017_018_sim_0.956955.jpg,sample_002860,017.jpg,018.jpg,0.95695466
013_sample_004911_006_007_sim_0.956208.jpg,sample_004911,006.jpg,007.jpg,0.95620805
014_sample_015825_017_018_sim_0.957943.jpg,sample_015825,017.jpg,018.jpg,0.95794344
015_sample_007089_001_002_sim_0.955512.jpg,sample_007089,001.jpg,002.jpg,0.95551175
016_sample_004735_012_013_sim_0.959362.jpg,sample_004735,012.jpg,013.jpg,0.95936191
017_sample_013126_015_016_sim_0.959693.jpg,sample_013126,015.jpg,016.jpg,0.95969307
018_sample_011468_000_001_sim_0.958560.jpg,sample_011468,000.jpg,001.jpg,0.95856011
019_sample_007971_010_011_sim_0.957161.jpg,sample_007971,010.jpg,011.jpg,0.95716113
020_sample_016284_005_006_sim_0.955155.jpg,sample_016284,005.jpg,006.jpg,0.95515466
021_sample_006511_015_016_sim_0.958672.jpg,sample_006511,015.jpg,016.jpg,0.95867246
022_sample_009780_002_003_sim_0.955738.jpg,sample_009780,002.jpg,003.jpg,0.95573837
023_sample_002457_005_006_sim_0.955877.jpg,sample_002457,005.jpg,006.jpg,0.95587677
024_sample_006737_009_010_sim_0.955717.jpg,sample_006737,009.jpg,010.jpg,0.95571715
025_sample_001310_001_002_sim_0.955297.jpg,sample_001310,001.jpg,002.jpg,0.95529675
026_sample_009579_007_008_sim_0.959356.jpg,sample_009579,007.jpg,008.jpg,0.95935583
027_sample_011898_015_016_sim_0.958494.jpg,sample_011898,015.jpg,016.jpg,0.95849419
028_sample_007923_005_006_sim_0.955793.jpg,sample_007923,005.jpg,006.jpg,0.95579278
029_sample_002773_004_005_sim_0.957018.jpg,sample_002773,004.jpg,005.jpg,0.95701772
030_sample_006269_005_006_sim_0.955721.jpg,sample_006269,005.jpg,006.jpg,0.95572114
031_sample_009540_013_014_sim_0.956269.jpg,sample_009540,013.jpg,014.jpg,0.95626903
032_sample_006300_017_018_sim_0.957879.jpg,sample_006300,017.jpg,018.jpg,0.95787895
033_sample_014642_005_006_sim_0.959039.jpg,sample_014642,005.jpg,006.jpg,0.95903921
034_sample_011783_008_009_sim_0.956482.jpg,sample_011783,008.jpg,009.jpg,0.95648199
035_sample_013049_007_008_sim_0.957106.jpg,sample_013049,007.jpg,008.jpg,0.95710605
036_sample_004409_016_017_sim_0.956474.jpg,sample_004409,016.jpg,017.jpg,0.95647371
037_sample_007849_005_006_sim_0.957378.jpg,sample_007849,005.jpg,006.jpg,0.95737827
038_sample_004340_018_019_sim_0.956504.jpg,sample_004340,018.jpg,019.jpg,0.95650363
039_sample_007200_001_002_sim_0.957213.jpg,sample_007200,001.jpg,002.jpg,0.95721322
040_sample_015933_014_015_sim_0.958787.jpg,sample_015933,014.jpg,015.jpg,0.95878685
041_sample_007780_017_018_sim_0.956755.jpg,sample_007780,017.jpg,018.jpg,0.95675480
042_sample_012486_015_016_sim_0.959303.jpg,sample_012486,015.jpg,016.jpg,0.95930326
043_sample_011864_005_006_sim_0.958075.jpg,sample_011864,005.jpg,006.jpg,0.95807505
044_sample_011060_004_005_sim_0.959941.jpg,sample_011060,004.jpg,005.jpg,0.95994103
045_sample_006497_001_002_sim_0.956305.jpg,sample_006497,001.jpg,002.jpg,0.95630467
046_sample_004304_019_020_sim_0.955573.jpg,sample_004304,019.jpg,020.jpg,0.95557296
047_sample_015002_008_009_sim_0.958643.jpg,sample_015002,008.jpg,009.jpg,0.95864350
048_sample_014460_005_006_sim_0.958153.jpg,sample_014460,005.jpg,006.jpg,0.95815301
049_sample_003169_005_006_sim_0.956951.jpg,sample_003169,005.jpg,006.jpg,0.95695150
050_sample_002107_007_008_sim_0.955683.jpg,sample_002107,007.jpg,008.jpg,0.95568311
