rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
6834,sample_015403,0.93179093,0.95545077,0.89630117,20,0.95708513;0.95499361;0.95427358,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015403_dinov2_base_adjacent_similarity.csv
6835,sample_014899,0.93178174,0.97003532,0.87440138,20,0.98209113;0.96443576;0.96357906,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014899_dinov2_base_adjacent_similarity.csv
6836,sample_005255,0.93176965,0.98103463,0.85787217,20,0.98197025;0.98072737;0.98040628,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005255_dinov2_base_adjacent_similarity.csv
6837,sample_005132,0.93176662,0.98527376,0.85150591,20,0.98971665;0.98727822;0.97882640,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005132_dinov2_base_adjacent_similarity.csv
6838,sample_015779,0.93176435,0.96272272,0.88532679,20,0.96891749;0.96812469;0.95112598,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015779_dinov2_base_adjacent_similarity.csv
6839,sample_005466,0.93175129,0.98548090,0.85115687,20,0.98713529;0.98597193;0.98333549,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005466_dinov2_base_adjacent_similarity.csv
6840,sample_006154,0.93172248,0.97689432,0.86396472,20,0.98301435;0.97529292;0.97237569,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006154_dinov2_base_adjacent_similarity.csv
6841,sample_005565,0.93171120,0.99076825,0.84312562,20,0.99280608;0.99036753;0.98913115,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005565_dinov2_base_adjacent_similarity.csv
6842,sample_012750,0.93170739,0.96446248,0.88257477,20,0.98070568;0.96156698;0.95111477,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012750_dinov2_base_adjacent_similarity.csv
6843,sample_007957,0.93169747,0.95871624,0.89116932,20,0.97500229;0.95837367;0.94277275,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007957_dinov2_base_adjacent_similarity.csv
