sample,score_top5_mean,num_pairs,top_values,csv_path
sample_009860,0.99540910,20,0.99620360;0.99618369;0.99528635;0.99473596;0.99463588,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009860_dinov2_base_adjacent_similarity.csv
sample_009842,0.99540154,20,0.99624950;0.99609113;0.99538201;0.99503434;0.99425071,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009842_dinov2_base_adjacent_similarity.csv
sample_009617,0.99539322,20,0.99697888;0.99655479;0.99635237;0.99504334;0.99203670,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009617_dinov2_base_adjacent_similarity.csv
sample_000689,0.99538444,20,0.99654758;0.99581140;0.99569237;0.99552155;0.99334931,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000689_dinov2_base_adjacent_similarity.csv
sample_009845,0.99537312,20,0.99569839;0.99552089;0.99538565;0.99528319;0.99497747,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009845_dinov2_base_adjacent_similarity.csv
sample_000656,0.99537104,20,0.99694693;0.99630731;0.99591970;0.99481601;0.99286526,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000656_dinov2_base_adjacent_similarity.csv
sample_009854,0.99536897,20,0.99589443;0.99549133;0.99531645;0.99521548;0.99492717,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009854_dinov2_base_adjacent_similarity.csv
sample_009624,0.99534990,20,0.99657321;0.99613136;0.99574280;0.99448609;0.99381602,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009624_dinov2_base_adjacent_similarity.csv
sample_009861,0.99534537,20,0.99634773;0.99587417;0.99510849;0.99479139;0.99460506,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009861_dinov2_base_adjacent_similarity.csv
sample_000652,0.99532894,20,0.99697232;0.99601460;0.99533731;0.99517006;0.99315041,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000652_dinov2_base_adjacent_similarity.csv
sample_009844,0.99529924,20,0.99617678;0.99534714;0.99510479;0.99504542;0.99482208,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009844_dinov2_base_adjacent_similarity.csv
sample_000508,0.99527448,20,0.99640667;0.99556726;0.99529552;0.99518943;0.99391353,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000508_dinov2_base_adjacent_similarity.csv
sample_009859,0.99527416,20,0.99628490;0.99585485;0.99516475;0.99454397;0.99452233,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009859_dinov2_base_adjacent_similarity.csv
sample_009857,0.99526963,20,0.99622601;0.99587113;0.99512923;0.99470818;0.99441361,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009857_dinov2_base_adjacent_similarity.csv
sample_009840,0.99526900,20,0.99575156;0.99531007;0.99523300;0.99507332;0.99497706,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009840_dinov2_base_adjacent_similarity.csv
sample_009851,0.99525767,20,0.99676895;0.99554139;0.99547982;0.99487263;0.99362558,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009851_dinov2_base_adjacent_similarity.csv
sample_009761,0.99525009,20,0.99676263;0.99554533;0.99516279;0.99461794;0.99416178,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009761_dinov2_base_adjacent_similarity.csv
sample_009572,0.99524497,20,0.99604660;0.99596453;0.99565339;0.99443495;0.99412537,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009572_dinov2_base_adjacent_similarity.csv
sample_009618,0.99520041,20,0.99582720;0.99564976;0.99546206;0.99517685;0.99388617,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009618_dinov2_base_adjacent_similarity.csv
sample_009625,0.99518335,20,0.99719262;0.99716079;0.99519151;0.99432045;0.99205136,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009625_dinov2_base_adjacent_similarity.csv
sample_000503,0.99518223,20,0.99811411;0.99714726;0.99620414;0.99393016;0.99051547,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000503_dinov2_base_adjacent_similarity.csv
sample_009846,0.99517751,20,0.99554586;0.99548578;0.99506551;0.99498570;0.99480468,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009846_dinov2_base_adjacent_similarity.csv
sample_009759,0.99517597,20,0.99607277;0.99546319;0.99531472;0.99465108;0.99437809,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009759_dinov2_base_adjacent_similarity.csv
sample_000658,0.99517226,20,0.99616170;0.99551415;0.99511397;0.99484527;0.99422622,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000658_dinov2_base_adjacent_similarity.csv
sample_009718,0.99516730,20,0.99696988;0.99561751;0.99457252;0.99440533;0.99427128,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009718_dinov2_base_adjacent_similarity.csv
sample_009762,0.99514643,20,0.99607050;0.99584180;0.99498779;0.99457991;0.99425215,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009762_dinov2_base_adjacent_similarity.csv
sample_001038,0.99512594,20,0.99560523;0.99539179;0.99535543;0.99474442;0.99453282,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_001038_dinov2_base_adjacent_similarity.csv
sample_009848,0.99512367,20,0.99592423;0.99518770;0.99500632;0.99485785;0.99464226,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009848_dinov2_base_adjacent_similarity.csv
sample_009832,0.99509751,20,0.99640149;0.99550045;0.99464083;0.99460936;0.99433541,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009832_dinov2_base_adjacent_similarity.csv
sample_009756,0.99509535,20,0.99595433;0.99547124;0.99498266;0.99482536;0.99424314,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009756_dinov2_base_adjacent_similarity.csv
sample_009852,0.99507132,20,0.99571663;0.99538505;0.99530923;0.99494541;0.99400026,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009852_dinov2_base_adjacent_similarity.csv
sample_009724,0.99506707,20,0.99652457;0.99523914;0.99480855;0.99457663;0.99418646,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009724_dinov2_base_adjacent_similarity.csv
sample_009836,0.99503404,20,0.99589491;0.99555779;0.99508333;0.99452376;0.99411041,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009836_dinov2_base_adjacent_similarity.csv
sample_009732,0.99502477,20,0.99633074;0.99578297;0.99501348;0.99401474;0.99398190,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009732_dinov2_base_adjacent_similarity.csv
sample_009739,0.99502422,20,0.99652141;0.99570888;0.99458820;0.99421638;0.99408621,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009739_dinov2_base_adjacent_similarity.csv
sample_009825,0.99501934,20,0.99613512;0.99492437;0.99484563;0.99480975;0.99438184,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009825_dinov2_base_adjacent_similarity.csv
sample_009622,0.99501817,20,0.99638867;0.99621087;0.99544340;0.99405348;0.99299443,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009622_dinov2_base_adjacent_similarity.csv
sample_009723,0.99496163,20,0.99540484;0.99490690;0.99486262;0.99484468;0.99478912,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009723_dinov2_base_adjacent_similarity.csv
sample_009758,0.99494567,20,0.99592161;0.99506694;0.99470991;0.99465430;0.99437559,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009758_dinov2_base_adjacent_similarity.csv
sample_000641,0.99493023,20,0.99596345;0.99554348;0.99489319;0.99451727;0.99373376,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000641_dinov2_base_adjacent_similarity.csv
sample_004908,0.99490307,20,0.99682534;0.99519122;0.99494720;0.99417651;0.99337506,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004908_dinov2_base_adjacent_similarity.csv
sample_009755,0.99488410,20,0.99560934;0.99551833;0.99461555;0.99444914;0.99422812,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009755_dinov2_base_adjacent_similarity.csv
sample_009770,0.99487868,20,0.99536729;0.99512982;0.99494731;0.99448538;0.99446362,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009770_dinov2_base_adjacent_similarity.csv
sample_009853,0.99487691,20,0.99542731;0.99501288;0.99495494;0.99473763;0.99425179,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009853_dinov2_base_adjacent_similarity.csv
