file,sample,image_a,image_b,similarity
001_sample_009695_005_006_sim_0.991058.jpg,sample_009695,005.jpg,006.jpg,0.99105823
002_sample_005514_004_005_sim_0.990499.jpg,sample_005514,004.jpg,005.jpg,0.99049926
003_sample_004067_010_011_sim_0.992525.jpg,sample_004067,010.jpg,011.jpg,0.99252456
004_sample_009848_008_009_sim_0.992216.jpg,sample_009848,008.jpg,009.jpg,0.99221593
005_sample_011338_001_002_sim_0.992281.jpg,sample_011338,001.jpg,002.jpg,0.99228066
006_sample_002633_000_001_sim_0.992757.jpg,sample_002633,000.jpg,001.jpg,0.99275696
007_sample_005538_005_006_sim_0.991106.jpg,sample_005538,005.jpg,006.jpg,0.99110603
008_sample_009707_007_008_sim_0.991095.jpg,sample_009707,007.jpg,008.jpg,0.99109536
009_sample_009149_010_011_sim_0.990328.jpg,sample_009149,010.jpg,011.jpg,0.99032766
010_sample_000668_015_016_sim_0.994394.jpg,sample_000668,015.jpg,016.jpg,0.99439424
011_sample_004862_017_018_sim_0.990100.jpg,sample_004862,017.jpg,018.jpg,0.99009997
012_sample_009669_002_003_sim_0.992422.jpg,sample_009669,002.jpg,003.jpg,0.99242175
013_sample_001165_013_014_sim_0.994776.jpg,sample_001165,013.jpg,014.jpg,0.99477583
014_sample_001460_015_016_sim_0.992401.jpg,sample_001460,015.jpg,016.jpg,0.99240077
015_sample_000319_014_015_sim_0.993540.jpg,sample_000319,014.jpg,015.jpg,0.99353951
016_sample_009830_019_020_sim_0.990196.jpg,sample_009830,019.jpg,020.jpg,0.99019575
017_sample_005528_005_006_sim_0.990663.jpg,sample_005528,005.jpg,006.jpg,0.99066257
018_sample_000011_016_017_sim_0.993423.jpg,sample_000011,016.jpg,017.jpg,0.99342281
019_sample_009285_002_003_sim_0.992712.jpg,sample_009285,002.jpg,003.jpg,0.99271244
020_sample_012142_018_019_sim_0.991099.jpg,sample_012142,018.jpg,019.jpg,0.99109888
021_sample_009449_010_011_sim_0.993288.jpg,sample_009449,010.jpg,011.jpg,0.99328840
022_sample_009811_002_003_sim_0.991873.jpg,sample_009811,002.jpg,003.jpg,0.99187338
023_sample_009840_017_018_sim_0.994776.jpg,sample_009840,017.jpg,018.jpg,0.99477589
024_sample_009859_012_013_sim_0.990923.jpg,sample_009859,012.jpg,013.jpg,0.99092287
025_sample_009855_012_013_sim_0.990193.jpg,sample_009855,012.jpg,013.jpg,0.99019349
026_sample_009772_015_016_sim_0.992822.jpg,sample_009772,015.jpg,016.jpg,0.99282157
027_sample_001206_015_016_sim_0.994195.jpg,sample_001206,015.jpg,016.jpg,0.99419451
028_sample_004446_007_008_sim_0.992212.jpg,sample_004446,007.jpg,008.jpg,0.99221212
029_sample_005489_005_006_sim_0.990336.jpg,sample_005489,005.jpg,006.jpg,0.99033618
030_sample_000447_015_016_sim_0.992143.jpg,sample_000447,015.jpg,016.jpg,0.99214280
031_sample_009765_003_004_sim_0.994593.jpg,sample_009765,003.jpg,004.jpg,0.99459338
032_sample_002784_010_011_sim_0.992891.jpg,sample_002784,010.jpg,011.jpg,0.99289143
033_sample_009726_017_018_sim_0.994556.jpg,sample_009726,017.jpg,018.jpg,0.99455571
034_sample_002633_002_003_sim_0.990433.jpg,sample_002633,002.jpg,003.jpg,0.99043334
035_sample_009764_004_005_sim_0.990621.jpg,sample_009764,004.jpg,005.jpg,0.99062133
036_sample_000733_014_015_sim_0.990694.jpg,sample_000733,014.jpg,015.jpg,0.99069357
037_sample_009841_002_003_sim_0.993511.jpg,sample_009841,002.jpg,003.jpg,0.99351132
038_sample_002597_001_002_sim_0.993124.jpg,sample_002597,001.jpg,002.jpg,0.99312371
039_sample_009038_015_016_sim_0.993000.jpg,sample_009038,015.jpg,016.jpg,0.99300045
040_sample_002623_009_010_sim_0.991166.jpg,sample_002623,009.jpg,010.jpg,0.99116552
041_sample_009767_008_009_sim_0.990443.jpg,sample_009767,008.jpg,009.jpg,0.99044311
042_sample_005057_004_005_sim_0.990448.jpg,sample_005057,004.jpg,005.jpg,0.99044836
043_sample_002674_000_001_sim_0.991033.jpg,sample_002674,000.jpg,001.jpg,0.99103308
044_sample_005023_005_006_sim_0.991474.jpg,sample_005023,005.jpg,006.jpg,0.99147409
045_sample_009820_015_016_sim_0.990727.jpg,sample_009820,015.jpg,016.jpg,0.99072725
046_sample_002555_015_016_sim_0.990046.jpg,sample_002555,015.jpg,016.jpg,0.99004579
047_sample_009580_011_012_sim_0.990755.jpg,sample_009580,011.jpg,012.jpg,0.99075496
048_sample_000748_014_015_sim_0.993449.jpg,sample_000748,014.jpg,015.jpg,0.99344915
049_sample_001175_016_017_sim_0.992787.jpg,sample_001175,016.jpg,017.jpg,0.99278677
050_sample_005319_008_009_sim_0.992745.jpg,sample_005319,008.jpg,009.jpg,0.99274504
