file,sample,image_a,image_b,similarity
001_sample_003749_009_010_sim_0.951388.jpg,sample_003749,009.jpg,010.jpg,0.95138800
002_sample_000871_005_006_sim_0.953281.jpg,sample_000871,005.jpg,006.jpg,0.95328057
003_sample_009074_010_011_sim_0.954992.jpg,sample_009074,010.jpg,011.jpg,0.95499206
004_sample_007782_005_006_sim_0.952934.jpg,sample_007782,005.jpg,006.jpg,0.95293438
005_sample_006897_014_015_sim_0.951486.jpg,sample_006897,014.jpg,015.jpg,0.95148641
006_sample_004500_010_011_sim_0.950735.jpg,sample_004500,010.jpg,011.jpg,0.95073450
007_sample_003479_015_016_sim_0.950776.jpg,sample_003479,015.jpg,016.jpg,0.95077646
008_sample_003150_019_020_sim_0.953205.jpg,sample_003150,019.jpg,020.jpg,0.95320541
009_sample_012708_015_016_sim_0.950894.jpg,sample_012708,015.jpg,016.jpg,0.95089352
010_sample_001408_010_011_sim_0.953840.jpg,sample_001408,010.jpg,011.jpg,0.95383978
011_sample_001221_007_008_sim_0.953124.jpg,sample_001221,007.jpg,008.jpg,0.95312351
012_sample_003271_001_002_sim_0.954221.jpg,sample_003271,001.jpg,002.jpg,0.95422095
013_sample_006827_000_001_sim_0.952554.jpg,sample_006827,000.jpg,001.jpg,0.95255411
014_sample_007270_001_002_sim_0.952425.jpg,sample_007270,001.jpg,002.jpg,0.95242524
015_sample_015324_010_011_sim_0.951098.jpg,sample_015324,010.jpg,011.jpg,0.95109844
016_sample_000985_001_002_sim_0.951930.jpg,sample_000985,001.jpg,002.jpg,0.95193028
017_sample_006343_006_007_sim_0.954735.jpg,sample_006343,006.jpg,007.jpg,0.95473528
018_sample_012661_005_006_sim_0.954002.jpg,sample_012661,005.jpg,006.jpg,0.95400167
019_sample_006851_015_016_sim_0.953289.jpg,sample_006851,015.jpg,016.jpg,0.95328897
020_sample_013261_009_010_sim_0.954855.jpg,sample_013261,009.jpg,010.jpg,0.95485473
021_sample_009191_001_002_sim_0.950973.jpg,sample_009191,001.jpg,002.jpg,0.95097291
022_sample_000121_000_001_sim_0.951365.jpg,sample_000121,000.jpg,001.jpg,0.95136464
023_sample_004942_014_015_sim_0.953459.jpg,sample_004942,014.jpg,015.jpg,0.95345926
024_sample_012725_003_004_sim_0.951057.jpg,sample_012725,003.jpg,004.jpg,0.95105684
025_sample_011019_015_016_sim_0.951413.jpg,sample_011019,015.jpg,016.jpg,0.95141339
026_sample_009174_008_009_sim_0.954503.jpg,sample_009174,008.jpg,009.jpg,0.95450342
027_sample_004819_000_001_sim_0.951173.jpg,sample_004819,000.jpg,001.jpg,0.95117253
028_sample_006780_005_006_sim_0.951612.jpg,sample_006780,005.jpg,006.jpg,0.95161206
029_sample_010950_003_004_sim_0.953310.jpg,sample_010950,003.jpg,004.jpg,0.95330954
030_sample_003472_005_006_sim_0.950455.jpg,sample_003472,005.jpg,006.jpg,0.95045543
031_sample_003248_001_002_sim_0.954753.jpg,sample_003248,001.jpg,002.jpg,0.95475274
032_sample_011888_007_008_sim_0.951962.jpg,sample_011888,007.jpg,008.jpg,0.95196152
033_sample_003339_001_002_sim_0.954705.jpg,sample_003339,001.jpg,002.jpg,0.95470470
034_sample_011463_000_001_sim_0.952287.jpg,sample_011463,000.jpg,001.jpg,0.95228744
035_sample_011097_009_010_sim_0.953073.jpg,sample_011097,009.jpg,010.jpg,0.95307338
036_sample_008548_000_001_sim_0.954742.jpg,sample_008548,000.jpg,001.jpg,0.95474190
037_sample_001910_007_008_sim_0.951160.jpg,sample_001910,007.jpg,008.jpg,0.95115960
038_sample_013710_010_011_sim_0.950041.jpg,sample_013710,010.jpg,011.jpg,0.95004106
039_sample_016199_006_007_sim_0.951054.jpg,sample_016199,006.jpg,007.jpg,0.95105386
040_sample_004101_005_006_sim_0.950021.jpg,sample_004101,005.jpg,006.jpg,0.95002133
041_sample_011867_018_019_sim_0.954134.jpg,sample_011867,018.jpg,019.jpg,0.95413411
042_sample_003017_001_002_sim_0.954943.jpg,sample_003017,001.jpg,002.jpg,0.95494276
043_sample_009520_010_011_sim_0.951822.jpg,sample_009520,010.jpg,011.jpg,0.95182174
044_sample_011519_006_007_sim_0.951266.jpg,sample_011519,006.jpg,007.jpg,0.95126617
045_sample_006216_004_005_sim_0.952493.jpg,sample_006216,004.jpg,005.jpg,0.95249271
046_sample_002811_001_002_sim_0.951566.jpg,sample_002811,001.jpg,002.jpg,0.95156586
047_sample_002027_002_003_sim_0.953708.jpg,sample_002027,002.jpg,003.jpg,0.95370799
048_sample_007009_019_020_sim_0.951889.jpg,sample_007009,019.jpg,020.jpg,0.95188856
049_sample_009385_016_017_sim_0.953941.jpg,sample_009385,016.jpg,017.jpg,0.95394099
050_sample_003032_003_004_sim_0.950415.jpg,sample_003032,003.jpg,004.jpg,0.95041513
