task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
380,7.0,2921,sample_008891,0.95334176,0.98671480,0.90328219,20,0.99262142;0.98498333;0.98253965,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008891_dinov2_base_adjacent_similarity.csv
380,7.0,3284,sample_009196,0.95160555,0.98534197,0.90100094,20,0.98633564;0.98572367;0.98396659,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009196_dinov2_base_adjacent_similarity.csv
380,7.0,3567,sample_009006,0.95023117,0.99059697,0.88968247,20,0.99251044;0.98975557;0.98952490,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009006_dinov2_base_adjacent_similarity.csv
380,7.0,4739,sample_008978,0.94446800,0.98772901,0.87957647,20,0.98900586;0.98812622;0.98605496,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008978_dinov2_base_adjacent_similarity.csv
380,7.0,4760,sample_009072,0.94437850,0.99072786,0.87485447,20,0.99254149;0.99189538;0.98774672,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009072_dinov2_base_adjacent_similarity.csv
380,7.0,4886,sample_009007,0.94371068,0.99241292,0.87065732,20,0.99398100;0.99197924;0.99127853,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009007_dinov2_base_adjacent_similarity.csv
380,7.0,5037,sample_009021,0.94292147,0.99043705,0.87164810,20,0.99375939;0.98911166;0.98844010,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009021_dinov2_base_adjacent_similarity.csv
380,7.0,5069,sample_009005,0.94274709,0.98795509,0.87493508,20,0.98834330;0.98790741;0.98761457,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009005_dinov2_base_adjacent_similarity.csv
380,7.0,5135,sample_009002,0.94238262,0.98938499,0.87187907,20,0.99033630;0.99003333;0.98778534,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009002_dinov2_base_adjacent_similarity.csv
380,7.0,5324,sample_008675,0.94124054,0.98459109,0.87621473,20,0.99081135;0.98959720;0.97336471,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008675_dinov2_base_adjacent_similarity.csv
380,7.0,5428,sample_008438,0.94071304,0.98822136,0.86945055,20,0.99275231;0.99143755;0.98047423,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008438_dinov2_base_adjacent_similarity.csv
380,7.0,5666,sample_009097,0.93936563,0.98483209,0.87116594,20,0.98837155;0.98583543;0.98028928,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009097_dinov2_base_adjacent_similarity.csv
380,7.0,5708,sample_009118,0.93912965,0.99008286,0.86269983,20,0.99183941;0.98923993;0.98916924,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009118_dinov2_base_adjacent_similarity.csv
380,7.0,5724,sample_008922,0.93900020,0.98492261,0.87011658,20,0.98820281;0.98333430;0.98323071,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008922_dinov2_base_adjacent_similarity.csv
380,7.0,5757,sample_008972,0.93882894,0.98974963,0.86244791,20,0.99269545;0.98875803;0.98779541,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008972_dinov2_base_adjacent_similarity.csv
380,7.0,5926,sample_009158,0.93774444,0.99306629,0.85476167,20,0.99370992;0.99279010;0.99269885,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009158_dinov2_base_adjacent_similarity.csv
380,7.0,5964,sample_009008,0.93747124,0.98051727,0.87290221,20,0.99022889;0.97861528;0.97270763,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009008_dinov2_base_adjacent_similarity.csv
380,7.0,6023,sample_009090,0.93711238,0.98325769,0.86789443,20,0.98969507;0.98398662;0.97609138,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009090_dinov2_base_adjacent_similarity.csv
380,7.0,6147,sample_008892,0.93627801,0.98350402,0.86543901,20,0.98945642;0.98107004;0.97998559,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008892_dinov2_base_adjacent_similarity.csv
380,7.0,6289,sample_009092,0.93530951,0.98754346,0.85695860,20,0.99071121;0.98980629;0.98211288,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009092_dinov2_base_adjacent_similarity.csv
380,7.0,6318,sample_008677,0.93512655,0.98289196,0.86347843,20,0.98663485;0.98348141;0.97855961,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008677_dinov2_base_adjacent_similarity.csv
380,7.0,6384,sample_009113,0.93470965,0.98971846,0.85219644,20,0.99035817;0.99022132;0.98857588,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009113_dinov2_base_adjacent_similarity.csv
380,7.0,6403,sample_009009,0.93459933,0.98608331,0.85737336,20,0.98635650;0.98615289;0.98574054,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009009_dinov2_base_adjacent_similarity.csv
380,7.0,6405,sample_009094,0.93458778,0.97684618,0.87120018,20,0.98525196;0.97782773;0.96745884,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009094_dinov2_base_adjacent_similarity.csv
380,7.0,6408,sample_009179,0.93457019,0.99138995,0.84934055,20,0.99436283;0.99274802;0.98705900,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009179_dinov2_base_adjacent_similarity.csv
380,7.0,6456,sample_009099,0.93426191,0.98150263,0.86340084,20,0.99026513;0.98273909;0.97150367,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009099_dinov2_base_adjacent_similarity.csv
380,7.0,6563,sample_008926,0.93351543,0.98485207,0.85651047,20,0.98896575;0.98288345;0.98270702,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008926_dinov2_base_adjacent_similarity.csv
380,7.0,6583,sample_009038,0.93338238,0.99162267,0.84602195,20,0.99300045;0.99214733;0.98972023,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009038_dinov2_base_adjacent_similarity.csv
380,7.0,6640,sample_009159,0.93303600,0.98960382,0.84818428,20,0.99038309;0.99005586;0.98837250,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009159_dinov2_base_adjacent_similarity.csv
380,7.0,6694,sample_009106,0.93275824,0.97912091,0.86321423,20,0.98717338;0.97947311;0.97071624,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009106_dinov2_base_adjacent_similarity.csv
380,7.0,6758,sample_009010,0.93231642,0.98034608,0.86027191,20,0.98342180;0.97917539;0.97844106,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009010_dinov2_base_adjacent_similarity.csv
380,7.0,6793,sample_008886,0.93209292,0.98072157,0.85914994,20,0.98331213;0.98074019;0.97811240,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008886_dinov2_base_adjacent_similarity.csv
380,7.0,6946,sample_008924,0.93099146,0.98009551,0.85733539,20,0.98480642;0.98142481;0.97405529,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008924_dinov2_base_adjacent_similarity.csv
