task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
388,8.0,6333,sample_009536,0.93501821,0.98748632,0.85631603,20,0.99101818;0.98729980;0.98414099,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009536_dinov2_base_adjacent_similarity.csv
388,8.0,6625,sample_009557,0.93312414,0.98567045,0.85430467,20,0.98705125;0.98687387;0.98308623,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009557_dinov2_base_adjacent_similarity.csv
388,8.0,7337,sample_009549,0.92819088,0.97739696,0.85438175,20,0.98673284;0.97534573;0.97011232,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009549_dinov2_base_adjacent_similarity.csv
388,8.0,7806,sample_009535,0.92535155,0.98424157,0.83701654,20,0.99216378;0.98187351;0.97868741,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009535_dinov2_base_adjacent_similarity.csv
388,8.0,7902,sample_009545,0.92475988,0.98361623,0.83647535,20,0.98644680;0.98491067;0.97949123,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009545_dinov2_base_adjacent_similarity.csv
388,8.0,7938,sample_009550,0.92455625,0.98006663,0.84129067,20,0.98690563;0.98124599;0.97204828,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009550_dinov2_base_adjacent_similarity.csv
388,8.0,8082,sample_009552,0.92361530,0.98059805,0.83814117,20,0.99066174;0.97964513;0.97148728,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009552_dinov2_base_adjacent_similarity.csv
388,8.0,8096,sample_009469,0.92350136,0.98188376,0.83592775,20,0.98610353;0.98179793;0.97774982,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009469_dinov2_base_adjacent_similarity.csv
388,8.0,8164,sample_009521,0.92314341,0.98198575,0.83487991,20,0.98888838;0.98141700;0.97565186,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009521_dinov2_base_adjacent_similarity.csv
388,8.0,8204,sample_009473,0.92284414,0.97649084,0.84237410,20,0.98892558;0.97777784;0.96276909,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009473_dinov2_base_adjacent_similarity.csv
