task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
424,task,189,sample_015655,0.98592899,0.99439945,0.97322331,20,0.99545485;0.99416083;0.99358267,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015655_dinov2_base_adjacent_similarity.csv
424,task,197,sample_015694,0.98533507,0.99289382,0.97399695,20,0.99516475;0.99211103;0.99140567,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015694_dinov2_base_adjacent_similarity.csv
424,task,210,sample_015699,0.98433438,0.99321268,0.97101692,20,0.99483830;0.99278283;0.99201691,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015699_dinov2_base_adjacent_similarity.csv
424,task,237,sample_015646,0.98216141,0.99187285,0.96759427,20,0.99332261;0.99294132;0.98935461,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015646_dinov2_base_adjacent_similarity.csv
424,task,239,sample_015703,0.98202164,0.99306043,0.96546347,20,0.99645770;0.99210882;0.99061477,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015703_dinov2_base_adjacent_similarity.csv
424,task,243,sample_015717,0.98155993,0.99259943,0.96500069,20,0.99315065;0.99313498;0.99151266,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015717_dinov2_base_adjacent_similarity.csv
424,task,250,sample_015661,0.98083099,0.99207674,0.96396237,20,0.99415720;0.99146402;0.99060899,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015661_dinov2_base_adjacent_similarity.csv
424,task,252,sample_015716,0.98075659,0.99281792,0.96266460,20,0.99437690;0.99333763;0.99073923,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015716_dinov2_base_adjacent_similarity.csv
424,task,253,sample_015713,0.98075061,0.99167727,0.96436062,20,0.99276346;0.99139357;0.99087477,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015713_dinov2_base_adjacent_similarity.csv
424,task,254,sample_015644,0.98053154,0.99060474,0.96542175,20,0.99111843;0.99034899;0.99034679,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015644_dinov2_base_adjacent_similarity.csv
424,task,256,sample_015719,0.98027220,0.99346916,0.96047676,20,0.99582338;0.99388587;0.99069822,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015719_dinov2_base_adjacent_similarity.csv
424,task,258,sample_015725,0.98019725,0.99139672,0.96339805,20,0.99313080;0.99122596;0.98983341,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015725_dinov2_base_adjacent_similarity.csv
424,task,261,sample_015652,0.97999000,0.99244197,0.96131204,20,0.99359989;0.99290705;0.99081898,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015652_dinov2_base_adjacent_similarity.csv
424,task,266,sample_015645,0.97987286,0.99270451,0.96062538,20,0.99508893;0.99152809;0.99149650,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015645_dinov2_base_adjacent_similarity.csv
424,task,268,sample_015686,0.97969756,0.99184380,0.96147819,20,0.99488598;0.99032533;0.99032009,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015686_dinov2_base_adjacent_similarity.csv
424,task,274,sample_015618,0.97917896,0.99202996,0.95990246,20,0.99350482;0.99148190;0.99110317,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015618_dinov2_base_adjacent_similarity.csv
424,task,280,sample_015723,0.97857358,0.99167589,0.95892010,20,0.99450874;0.99031556;0.99020338,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015723_dinov2_base_adjacent_similarity.csv
424,task,286,sample_015896,0.97821673,0.99060758,0.95963046,20,0.99217641;0.99013352;0.98951280,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015896_dinov2_base_adjacent_similarity.csv
424,task,291,sample_015630,0.97795568,0.99030089,0.95943785,20,0.99587035;0.98890555;0.98612678,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015630_dinov2_base_adjacent_similarity.csv
424,task,297,sample_015634,0.97768524,0.99048769,0.95848156,20,0.99420720;0.99094206;0.98631382,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015634_dinov2_base_adjacent_similarity.csv
424,task,301,sample_015620,0.97747388,0.99161003,0.95626965,20,0.99312544;0.99215937;0.98954529,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015620_dinov2_base_adjacent_similarity.csv
424,task,306,sample_015700,0.97709002,0.99045358,0.95704468,20,0.99204367;0.98985666;0.98946041,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015700_dinov2_base_adjacent_similarity.csv
424,task,318,sample_015637,0.97664695,0.98973979,0.95700769,20,0.99168962;0.98948276;0.98804700,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015637_dinov2_base_adjacent_similarity.csv
