task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
360,8.0,4804,sample_003391,0.94419023,0.98339691,0.88538023,20,0.99378932;0.98232394;0.97407746,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003391_dinov2_base_adjacent_similarity.csv
360,8.0,5148,sample_003374,0.94231033,0.98844653,0.87310602,20,0.99054784;0.98928058;0.98551118,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003374_dinov2_base_adjacent_similarity.csv
360,8.0,5185,sample_003651,0.94209668,0.98513565,0.87753823,20,0.99172121;0.98249519;0.98119056,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003651_dinov2_base_adjacent_similarity.csv
360,8.0,5361,sample_003264,0.94103178,0.98232563,0.87909101,20,0.98410296;0.98386085;0.97901309,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003264_dinov2_base_adjacent_similarity.csv
360,8.0,5638,sample_003428,0.93950549,0.97942585,0.87962497,20,0.98445606;0.97903359;0.97478789,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003428_dinov2_base_adjacent_similarity.csv
360,8.0,5869,sample_003652,0.93805558,0.97701202,0.87962093,20,0.98470032;0.97610247;0.97023326,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003652_dinov2_base_adjacent_similarity.csv
360,8.0,5891,sample_003427,0.93794219,0.97444910,0.88318183,20,0.97598243;0.97423452;0.97313035,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003427_dinov2_base_adjacent_similarity.csv
360,8.0,5947,sample_003470,0.93758560,0.98198404,0.87098794,20,0.98312706;0.98266482;0.98016024,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003470_dinov2_base_adjacent_similarity.csv
360,8.0,5968,sample_003632,0.93743958,0.97725040,0.87772334,20,0.98781884;0.97960329;0.96432906,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003632_dinov2_base_adjacent_similarity.csv
360,8.0,6079,sample_003373,0.93670756,0.97712588,0.87608007,20,0.98045886;0.97566378;0.97525501,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003373_dinov2_base_adjacent_similarity.csv
360,8.0,6080,sample_003409,0.93669706,0.98415677,0.86550750,20,0.98972142;0.98253679;0.98021209,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003409_dinov2_base_adjacent_similarity.csv
360,8.0,6210,sample_003384,0.93581927,0.97886334,0.87125316,20,0.98857659;0.97551072;0.97250271,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003384_dinov2_base_adjacent_similarity.csv
360,8.0,6246,sample_003426,0.93557069,0.97187447,0.88111502,20,0.98672336;0.97387588;0.95502418,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003426_dinov2_base_adjacent_similarity.csv
360,8.0,6272,sample_003380,0.93542920,0.97738961,0.87248857,20,0.99325442;0.97243226;0.96648216,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003380_dinov2_base_adjacent_similarity.csv
360,8.0,6301,sample_003371,0.93524401,0.97312796,0.87841809,20,0.98485696;0.97785342;0.95667350,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003371_dinov2_base_adjacent_similarity.csv
360,8.0,6357,sample_003459,0.93487429,0.97750642,0.87092609,20,0.98345131;0.97542572;0.97364223,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003459_dinov2_base_adjacent_similarity.csv
360,8.0,6371,sample_003469,0.93478230,0.98594620,0.85803645,20,0.99019724;0.98592466;0.98171669,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003469_dinov2_base_adjacent_similarity.csv
360,8.0,6407,sample_003441,0.93457393,0.97508810,0.87380267,20,0.98224837;0.97507226;0.96794367,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003441_dinov2_base_adjacent_similarity.csv
360,8.0,6439,sample_003437,0.93435300,0.97439436,0.87429097,20,0.97903717;0.97224665;0.97189927,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003437_dinov2_base_adjacent_similarity.csv
