task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
372,8.0,7116,sample_005642,0.92981275,0.98062819,0.85358959,20,0.99054497;0.98180437;0.96953523,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005642_dinov2_base_adjacent_similarity.csv
372,8.0,7252,sample_005787,0.92880551,0.97469632,0.85996931,20,0.98409092;0.97843504;0.96156299,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005787_dinov2_base_adjacent_similarity.csv
372,8.0,7317,sample_005769,0.92835939,0.97810038,0.85374791,20,0.99189520;0.98029810;0.96210784,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005769_dinov2_base_adjacent_similarity.csv
372,8.0,7441,sample_005705,0.92753279,0.98661724,0.83890611,20,0.99100780;0.98925161;0.97959232,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005705_dinov2_base_adjacent_similarity.csv
372,8.0,7456,sample_006029,0.92744230,0.98134174,0.84659315,20,0.98347080;0.98293954;0.97761488,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006029_dinov2_base_adjacent_similarity.csv
372,8.0,7481,sample_005614,0.92727925,0.98268195,0.84417520,20,0.98600042;0.98479366;0.97725177,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005614_dinov2_base_adjacent_similarity.csv
372,8.0,7678,sample_005753,0.92606897,0.97978580,0.84549373,20,0.98470747;0.97844625;0.97620368,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005753_dinov2_base_adjacent_similarity.csv
372,8.0,7939,sample_005703,0.92454113,0.97693314,0.84595311,20,0.98797649;0.97502935;0.96779358,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005703_dinov2_base_adjacent_similarity.csv
372,8.0,7957,sample_005704,0.92441808,0.98557083,0.83268897,20,0.99192762;0.98397517;0.98080969,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005704_dinov2_base_adjacent_similarity.csv
372,8.0,7970,sample_005799,0.92430821,0.97914688,0.84205022,20,0.98953640;0.97738755;0.97051668,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005799_dinov2_base_adjacent_similarity.csv
372,8.0,8152,sample_005767,0.92323199,0.97609292,0.84394061,20,0.98430240;0.97769076;0.96628559,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005767_dinov2_base_adjacent_similarity.csv
372,8.0,8178,sample_005737,0.92308836,0.98017059,0.83746502,20,0.98410392;0.98162127;0.97478658,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005737_dinov2_base_adjacent_similarity.csv
372,8.0,8224,sample_005750,0.92272512,0.97129826,0.84986540,20,0.97638702;0.97031784;0.96718991,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005750_dinov2_base_adjacent_similarity.csv
372,8.0,8324,sample_005798,0.92212379,0.98124730,0.83343853,20,0.98680186;0.98264539;0.97429466,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005798_dinov2_base_adjacent_similarity.csv
372,8.0,8343,sample_005719,0.92202369,0.98432398,0.82857325,20,0.99194062;0.98365343;0.97737789,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005719_dinov2_base_adjacent_similarity.csv
372,8.0,8407,sample_005744,0.92155985,0.98527364,0.82598917,20,0.98865831;0.98857224;0.97859037,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005744_dinov2_base_adjacent_similarity.csv
372,8.0,8548,sample_005734,0.92077328,0.96790840,0.85007059,20,0.97276390;0.96801156;0.96294975,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005734_dinov2_base_adjacent_similarity.csv
372,8.0,8566,sample_005594,0.92066724,0.97753960,0.83535871,20,0.98206306;0.97599745;0.97455829,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005594_dinov2_base_adjacent_similarity.csv
372,8.0,8581,sample_005722,0.92056918,0.98375364,0.82579249,20,0.98875391;0.98453546;0.97797155,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005722_dinov2_base_adjacent_similarity.csv
372,8.0,8590,sample_005771,0.92052402,0.97975421,0.83167873,20,0.98865509;0.98743874;0.96316880,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005771_dinov2_base_adjacent_similarity.csv
372,8.0,8671,sample_005982,0.92001436,0.97321840,0.84020831,20,0.98442656;0.97257471;0.96265393,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005982_dinov2_base_adjacent_similarity.csv
372,8.0,8709,sample_005757,0.91972956,0.97427271,0.83791484,20,0.99100345;0.96732807;0.96448660,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005757_dinov2_base_adjacent_similarity.csv
372,8.0,8790,sample_005725,0.91921248,0.97227118,0.83962442,20,0.98701185;0.97101974;0.95878196,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005725_dinov2_base_adjacent_similarity.csv
372,8.0,8980,sample_005775,0.91807704,0.98211304,0.82202305,20,0.98645461;0.98550534;0.97437918,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005775_dinov2_base_adjacent_similarity.csv
372,8.0,9075,sample_005802,0.91749316,0.97793055,0.82683708,20,0.98891103;0.98237181;0.96250880,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005802_dinov2_base_adjacent_similarity.csv
372,8.0,9198,sample_005746,0.91679991,0.97633012,0.82750458,20,0.98202980;0.97437155;0.97258902,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005746_dinov2_base_adjacent_similarity.csv
372,8.0,9278,sample_005617,0.91631603,0.97614320,0.82657528,20,0.98073703;0.97651863;0.97117394,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005617_dinov2_base_adjacent_similarity.csv
372,8.0,9361,sample_005886,0.91584036,0.96904333,0.83603590,20,0.98192519;0.96261322;0.96259159,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005886_dinov2_base_adjacent_similarity.csv
372,8.0,9434,sample_005729,0.91545837,0.97086946,0.83234172,20,0.98735821;0.96687895;0.95837122,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005729_dinov2_base_adjacent_similarity.csv
372,8.0,9466,sample_005624,0.91527174,0.97618622,0.82390002,20,0.98504221;0.97473115;0.96878529,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005624_dinov2_base_adjacent_similarity.csv
372,8.0,9512,sample_005781,0.91490928,0.97647109,0.82256657,20,0.98974431;0.97934198;0.96032697,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005781_dinov2_base_adjacent_similarity.csv
372,8.0,9519,sample_005785,0.91486509,0.97605111,0.82308606,20,0.98686081;0.97176993;0.96952260,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005785_dinov2_base_adjacent_similarity.csv
372,8.0,9561,sample_005680,0.91464612,0.98086602,0.81531627,20,0.98497796;0.98328692;0.97433317,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005680_dinov2_base_adjacent_similarity.csv
372,8.0,9588,sample_005622,0.91449923,0.96750498,0.83499060,20,0.98533177;0.95934528;0.95783788,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005622_dinov2_base_adjacent_similarity.csv
372,8.0,9620,sample_006012,0.91429055,0.98190788,0.81286454,20,0.98932135;0.97909522;0.97730708,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006012_dinov2_base_adjacent_similarity.csv
372,8.0,9669,sample_005764,0.91402338,0.97021506,0.82973586,20,0.99162573;0.98294777;0.93607169,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005764_dinov2_base_adjacent_similarity.csv
372,8.0,9722,sample_005760,0.91372776,0.97966898,0.81481593,20,0.98969728;0.98737830;0.96193135,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005760_dinov2_base_adjacent_similarity.csv
372,8.0,9740,sample_005596,0.91358189,0.97464113,0.82199303,20,0.98486394;0.97164351;0.96741593,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005596_dinov2_base_adjacent_similarity.csv
372,8.0,9785,sample_005745,0.91336934,0.96889442,0.83008171,20,0.97925842;0.96519709;0.96222776,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005745_dinov2_base_adjacent_similarity.csv
