task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
422,7.0,4493,sample_014884,0.94572426,0.96811352,0.91214038,20,0.97429049;0.96503794;0.96501213,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014884_dinov2_base_adjacent_similarity.csv
422,7.0,5008,sample_014894,0.94303661,0.96045415,0.91691031,20,0.96792889;0.96183431;0.95159924,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014894_dinov2_base_adjacent_similarity.csv
422,7.0,6342,sample_014344,0.93499378,0.98308710,0.86285381,20,0.98538834;0.98220336;0.98166960,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014344_dinov2_base_adjacent_similarity.csv
422,7.0,6479,sample_014886,0.93408395,0.96615197,0.88598191,20,0.97485983;0.96284980;0.96074629,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014886_dinov2_base_adjacent_similarity.csv
422,7.0,6600,sample_015265,0.93321725,0.98002899,0.86299965,20,0.98430192;0.97981286;0.97597218,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015265_dinov2_base_adjacent_similarity.csv
422,7.0,6761,sample_014938,0.93230115,0.97302121,0.87122106,20,0.98355359;0.98263431;0.95287573,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014938_dinov2_base_adjacent_similarity.csv
422,7.0,6784,sample_014889,0.93215544,0.96076059,0.88924771,20,0.96907711;0.95750928;0.95569539,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014889_dinov2_base_adjacent_similarity.csv
422,7.0,6835,sample_014899,0.93178174,0.97003532,0.87440138,20,0.98209113;0.96443576;0.96357906,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014899_dinov2_base_adjacent_similarity.csv
422,7.0,6974,sample_014343,0.93077622,0.98121673,0.85511546,20,0.99123174;0.97742987;0.97498858,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014343_dinov2_base_adjacent_similarity.csv
422,7.0,6983,sample_014444,0.93074176,0.97370867,0.86629139,20,0.97670239;0.97647357;0.96795005,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014444_dinov2_base_adjacent_similarity.csv
422,7.0,7015,sample_013940,0.93056718,0.98275461,0.85228604,20,0.98842144;0.98824990;0.97159249,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013940_dinov2_base_adjacent_similarity.csv
422,7.0,7056,sample_014971,0.93032345,0.97142237,0.86867507,20,0.98082793;0.97449934;0.95893985,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014971_dinov2_base_adjacent_similarity.csv
422,7.0,7249,sample_014332,0.92882153,0.97950788,0.85279201,20,0.98824519;0.97545087;0.97482759,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014332_dinov2_base_adjacent_similarity.csv
422,7.0,7273,sample_014924,0.92865195,0.96726427,0.87073347,20,0.97691953;0.96309668;0.96177661,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014924_dinov2_base_adjacent_similarity.csv
422,7.0,7275,sample_014885,0.92864364,0.95934594,0.88259020,20,0.96458828;0.96094692;0.95250261,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014885_dinov2_base_adjacent_similarity.csv
422,7.0,7277,sample_014629,0.92862814,0.97420589,0.86026151,20,0.97637981;0.97338039;0.97285748,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014629_dinov2_base_adjacent_similarity.csv
422,7.0,7376,sample_015079,0.92795662,0.97513052,0.85719577,20,0.98522067;0.97323024;0.96694064,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_015079_dinov2_base_adjacent_similarity.csv
422,7.0,7407,sample_014919,0.92775180,0.96851210,0.86661136,20,0.97341108;0.96625262;0.96587259,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014919_dinov2_base_adjacent_similarity.csv
422,7.0,7415,sample_014047,0.92767505,0.98672581,0.83909891,20,0.99022925;0.98945057;0.98049760,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014047_dinov2_base_adjacent_similarity.csv
422,7.0,7448,sample_014539,0.92749067,0.98074277,0.84761252,20,0.98486930;0.97955918;0.97779983,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_014539_dinov2_base_adjacent_similarity.csv
422,7.0,7471,sample_013997,0.92733700,0.98236567,0.84479401,20,0.98882824;0.97962666;0.97864211,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013997_dinov2_base_adjacent_similarity.csv
