task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
368,9.0,2750,sample_005493,0.95423879,0.98928656,0.90166713,20,0.99179119;0.98926044;0.98680806,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005493_dinov2_base_adjacent_similarity.csv
368,9.0,3330,sample_005518,0.95136702,0.98760885,0.89700427,20,0.99065435;0.98668218;0.98549002,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005518_dinov2_base_adjacent_similarity.csv
368,9.0,3363,sample_005540,0.95120206,0.98951447,0.89373344,20,0.99064684;0.98949981;0.98839676,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005540_dinov2_base_adjacent_similarity.csv
368,9.0,3655,sample_005550,0.94982387,0.98528165,0.89663720,20,0.98772806;0.98407978;0.98403710,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005550_dinov2_base_adjacent_similarity.csv
368,9.0,3729,sample_005479,0.94945744,0.98734997,0.89261866,20,0.98963821;0.98639548;0.98601621,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005479_dinov2_base_adjacent_similarity.csv
368,9.0,3810,sample_005537,0.94903112,0.98818235,0.89030428,20,0.99053288;0.98866272;0.98535144,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005537_dinov2_base_adjacent_similarity.csv
368,9.0,3888,sample_005523,0.94869457,0.99088208,0.88541331,20,0.99283087;0.99096811;0.98884726,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005523_dinov2_base_adjacent_similarity.csv
368,9.0,4000,sample_005514,0.94818843,0.98986046,0.88568039,20,0.99101055;0.99049926;0.98807156,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005514_dinov2_base_adjacent_similarity.csv
368,9.0,4011,sample_005009,0.94812564,0.98780173,0.88861151,20,0.99271989;0.99054998;0.98013532,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005009_dinov2_base_adjacent_similarity.csv
368,9.0,4035,sample_005554,0.94802755,0.99056973,0.88421428,20,0.99305844;0.98939866;0.98925209,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005554_dinov2_base_adjacent_similarity.csv
368,9.0,4203,sample_005504,0.94716446,0.99271991,0.87883128,20,0.99355716;0.99335623;0.99124634,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005504_dinov2_base_adjacent_similarity.csv
368,9.0,4305,sample_005524,0.94661386,0.98980933,0.88182066,20,0.99080276;0.98962784;0.98899740,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005524_dinov2_base_adjacent_similarity.csv
368,9.0,4316,sample_005500,0.94658939,0.99199780,0.87847677,20,0.99307334;0.99158657;0.99133348,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005500_dinov2_base_adjacent_similarity.csv
368,9.0,4354,sample_005517,0.94641002,0.99021393,0.88070416,20,0.99213862;0.98994744;0.98855573,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005517_dinov2_base_adjacent_similarity.csv
368,9.0,4381,sample_005527,0.94629371,0.98789102,0.88389776,20,0.99212354;0.98640478;0.98514473,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005527_dinov2_base_adjacent_similarity.csv
368,9.0,4449,sample_005516,0.94595614,0.98481917,0.88766160,20,0.98645127;0.98454493;0.98346132,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005516_dinov2_base_adjacent_similarity.csv
368,9.0,4464,sample_005503,0.94586130,0.98716235,0.88390972,20,0.99106395;0.98757380;0.98284930,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005503_dinov2_base_adjacent_similarity.csv
368,9.0,4619,sample_005530,0.94505326,0.98652305,0.88284858,20,0.98827547;0.98570800;0.98558569,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005530_dinov2_base_adjacent_similarity.csv
368,9.0,4625,sample_005455,0.94503874,0.98911764,0.87892038,20,0.99186862;0.98956239;0.98592192,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005455_dinov2_base_adjacent_similarity.csv
368,9.0,4655,sample_005059,0.94486906,0.98916070,0.87843162,20,0.99337083;0.98988450;0.98422676,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005059_dinov2_base_adjacent_similarity.csv
368,9.0,4675,sample_005487,0.94479616,0.98922497,0.87815296,20,0.99138331;0.99098259;0.98530900,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005487_dinov2_base_adjacent_similarity.csv
368,9.0,4743,sample_005070,0.94445410,0.98695866,0.88069726,20,0.99227524;0.98516774;0.98343301,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005070_dinov2_base_adjacent_similarity.csv
368,9.0,4767,sample_005497,0.94434369,0.98795591,0.87892537,20,0.98979831;0.98771131;0.98635811,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005497_dinov2_base_adjacent_similarity.csv
368,9.0,4777,sample_005491,0.94430580,0.98656634,0.88091499,20,0.99343181;0.98532259;0.98094463,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005491_dinov2_base_adjacent_similarity.csv
368,9.0,4796,sample_005442,0.94423902,0.98831069,0.87813152,20,0.98993224;0.98839122;0.98660862,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005442_dinov2_base_adjacent_similarity.csv
368,9.0,4828,sample_005432,0.94405569,0.99217340,0.87187912,20,0.99357039;0.99346340;0.98948640,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005432_dinov2_base_adjacent_similarity.csv
368,9.0,4864,sample_005417,0.94381258,0.99083296,0.87328200,20,0.99303454;0.99016470;0.98929965,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005417_dinov2_base_adjacent_similarity.csv
368,9.0,4883,sample_005502,0.94372750,0.98677788,0.87915192,20,0.99084681;0.98616672;0.98332012,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005502_dinov2_base_adjacent_similarity.csv
368,9.0,4887,sample_005499,0.94370878,0.98836645,0.87672229,20,0.99102283;0.98797643;0.98610008,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005499_dinov2_base_adjacent_similarity.csv
368,9.0,4919,sample_005437,0.94350594,0.98171870,0.88618681,20,0.99074244;0.98123944;0.97317421,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005437_dinov2_base_adjacent_similarity.csv
368,9.0,5004,sample_005483,0.94305828,0.98631535,0.87817268,20,0.98645031;0.98642588;0.98606986,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005483_dinov2_base_adjacent_similarity.csv
368,9.0,5025,sample_005506,0.94296467,0.98703267,0.87686266,20,0.98868233;0.98694289;0.98547280,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005506_dinov2_base_adjacent_similarity.csv
368,9.0,5028,sample_005513,0.94295340,0.98854160,0.87457109,20,0.99214268;0.98679709;0.98668504,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005513_dinov2_base_adjacent_similarity.csv
368,9.0,5045,sample_005496,0.94288070,0.98585204,0.87842368,20,0.98769951;0.98588049;0.98397613,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005496_dinov2_base_adjacent_similarity.csv
368,9.0,5054,sample_005062,0.94280444,0.99176961,0.86935668,20,0.99406481;0.99196023;0.98928380,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005062_dinov2_base_adjacent_similarity.csv
368,9.0,5092,sample_005411,0.94260439,0.99418040,0.86524038,20,0.99523383;0.99522257;0.99208480,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005411_dinov2_base_adjacent_similarity.csv
368,9.0,5120,sample_005494,0.94247438,0.99111330,0.86951600,20,0.99211216;0.99196702;0.98926073,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005494_dinov2_base_adjacent_similarity.csv
368,9.0,5191,sample_005451,0.94203276,0.98287394,0.88077099,20,0.98475975;0.98201442;0.98184764,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005451_dinov2_base_adjacent_similarity.csv
368,9.0,5215,sample_005007,0.94184817,0.98871469,0.87154838,20,0.99133348;0.98892462;0.98588598,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005007_dinov2_base_adjacent_similarity.csv
368,9.0,5226,sample_005508,0.94177754,0.98978053,0.86977306,20,0.99068594;0.98959947;0.98905617,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005508_dinov2_base_adjacent_similarity.csv
368,9.0,5269,sample_005416,0.94153828,0.99222815,0.86550349,20,0.99356860;0.99329406;0.98982179,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005416_dinov2_base_adjacent_similarity.csv
368,9.0,5285,sample_005051,0.94146186,0.98977955,0.86898533,20,0.99446058;0.98860288;0.98627520,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005051_dinov2_base_adjacent_similarity.csv
368,9.0,5294,sample_005520,0.94140566,0.98798450,0.87153740,20,0.98935461;0.98773837;0.98686051,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005520_dinov2_base_adjacent_similarity.csv
368,9.0,5318,sample_005446,0.94127638,0.98623639,0.87383636,20,0.99072915;0.98494118;0.98303884,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005446_dinov2_base_adjacent_similarity.csv
368,9.0,5336,sample_005489,0.94121092,0.98900686,0.86951701,20,0.99033618;0.98883897;0.98784542,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005489_dinov2_base_adjacent_similarity.csv
