task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
378,10.0,851,sample_007978,0.96660094,0.98681170,0.93628481,20,0.98991418;0.98740190;0.98311901,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007978_dinov2_base_adjacent_similarity.csv
378,10.0,1031,sample_007999,0.96461359,0.98769611,0.92998981,20,0.98974228;0.98683065;0.98651540,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007999_dinov2_base_adjacent_similarity.csv
378,10.0,1159,sample_007971,0.96331072,0.98188529,0.93544885,20,0.98510712;0.98347682;0.97707194,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007971_dinov2_base_adjacent_similarity.csv
378,10.0,1330,sample_007988,0.96205370,0.98469579,0.92809057,20,0.99073780;0.98599005;0.97735953,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007988_dinov2_base_adjacent_similarity.csv
378,10.0,1493,sample_007982,0.96106418,0.98543018,0.92451519,20,0.98912442;0.98446774;0.98269838,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007982_dinov2_base_adjacent_similarity.csv
378,10.0,1557,sample_007964,0.96065982,0.98107163,0.93004211,20,0.98197985;0.98168588;0.97954917,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007964_dinov2_base_adjacent_similarity.csv
378,10.0,1619,sample_007989,0.96024731,0.98182954,0.92787396,20,0.98624831;0.98009944;0.97914088,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007989_dinov2_base_adjacent_similarity.csv
378,10.0,1916,sample_008078,0.95828799,0.98145123,0.92354313,20,0.98867953;0.98328763;0.97238654,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008078_dinov2_base_adjacent_similarity.csv
378,10.0,1933,sample_008002,0.95820782,0.98475061,0.91839364,20,0.98490268;0.98472488;0.98462427,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008002_dinov2_base_adjacent_similarity.csv
378,10.0,1957,sample_008037,0.95806605,0.98464875,0.91819200,20,0.99229348;0.98393929;0.97771347,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008037_dinov2_base_adjacent_similarity.csv
